"Geneid","SRR1178046","SRR1178036","SRR1178020","SRR1178002","SRR1177999","SRR1177997","SRR1177989","SRR1177988","SRR1177987"
"NM_001000488",0,0,0,0,0,0,0,0,0
"NM_001000489",0,0,0,0,0,0,0,0,0
"NM_001000490",0,0,0,0,0,0,0,0,0
"NM_001000491",0,0,0,0,0,0,0,0,0
"NM_001000492",0,0,0,0,0,0,0,0,0
"NM_001000493",0,0,0,0,0,0,0,0,0
"NM_001000494",0,0,0,0,0,0,0,0,0
"NM_001000495",0,0,0,0,0,0,0,0,0
"NM_001000496",0,0,0,0,0,0,0,0,0
"NM_001000497",0,0,0,0,0,0,0,0,0
"NM_001000498",0,0,0,0,0,0,0,0,0
"NM_001000499",4,0,3,1,0,0,0,0,0
"NM_001000500",0,0,0,0,0,0,0,0,0
"NM_001000501",0,0,0,0,0,0,0,2,0
"NM_001000502",0,0,0,0,0,0,0,0,0
"NM_001000503",0,2,4,2,6,6,1,4,0
"NM_001000504",1,0,0,0,0,0,0,0,0
"NM_001000505",0,0,0,0,0,0,0,0,0
"NM_001000506",0,0,0,0,0,0,0,0,0
"NM_001000507",0,2,0,2,0,0,0,0,0
"NM_001000508",0,0,0,0,0,0,0,0,0
"NM_001000509",0,0,0,0,0,0,0,0,0
"NM_001000510",0,0,0,0,0,0,0,0,0
"NM_001000511",0,0,0,0,0,0,0,0,0
"NM_001000512",0,0,0,0,0,0,0,0,0
"NM_001000513",0,0,0,0,0,0,0,0,0
"NM_001000514",0,0,0,0,0,0,0,0,0
"NM_001000515",0,0,0,0,0,0,0,0,0
"NM_001000516",0,0,0,0,0,0,0,0,0
"NM_001000517",0,0,0,0,0,0,0,0,0
"NM_001000518",0,0,0,0,0,0,0,0,0
"NM_001000519",0,0,0,0,0,0,0,0,0
"NM_001000520",0,0,0,0,0,0,0,0,0
"NM_001000521",0,0,0,0,0,0,0,0,0
"NM_001000522",0,0,0,0,0,0,0,0,0
"NM_001000523",0,0,0,0,0,0,0,0,0
"NM_001000524",0,0,0,0,0,0,0,0,0
"NM_001000525",0,0,0,0,0,0,0,0,0
"NM_001000526",0,0,0,0,0,0,0,0,0
"NM_001000527",0,0,0,0,0,0,0,0,0
